post_id,account,topic,views,sentiment_positive,sentiment_neutral,sentiment_negative,post_date,post_month
1,Life creates Life,jurassic_period,0,0.09784296501149996,0.6276139633959614,0.27454307159253855,2020-10-24,10
2,Life creates Life,carbon_cycle,5,0.729092004503085,0.13546540941426943,0.1354425860826456,2021-03-16,3
3,Data Magus,magic,29,0.0200119501874526,0.6726183177105184,0.3073697321020289,2021-02-11,2
4,Data Magus,data_engineering,107,0.25890493093112465,0.004373639091215078,0.7367214299776603,2020-10-23,10
5,Data Magus,environmental_science,89,0.8026024923499441,0.10723696528112109,0.09016054236893489,2021-01-10,1
6,Data Magus,data_science,13,0.15474872732017797,0.2770607756460601,0.5681904970337619,2020-09-04,9
7,Code Magus,magic,8,0.3046859769719794,0.18545189156142977,0.5098621314665907,2021-06-08,6
8,Data Magus,python,1,0.15780486043324113,0.36292607039767033,0.4792690691690884,2021-03-01,3
9,Data Magus,anime,5,0.2569771277126353,0.6490258916101708,0.0939969806771939,2021-04-12,4
10,Data Magus,anime,24,0.43310547649929537,0.5383635927629493,0.02853093073775539,2020-11-14,11
11,Code Magus,haskell,26,0.7862860496381189,0.1571686458269391,0.05654530453494223,2021-04-16,4
12,Life creates Life,nature,34,0.3718667069087166,0.42150531350147086,0.20662797958981252,2021-05-09,5
13,Code Magus,java,40,0.2244157914592176,0.06348919144263249,0.7120950170981499,2021-04-23,4
14,Code Magus,coding,14,0.41619664065684514,0.0933800683775676,0.4904232909655871,2021-06-14,6
15,Code Magus,python,27,0.012795366992628511,0.8777086435721796,0.10949598943519176,2021-07-19,7
16,Life creates Life,zoology,6,0.4951224874668689,0.17026497160190265,0.3346125409312286,2021-07-08,7
17,Code Magus,javascript,31,0.17628115924849175,0.04553687509189178,0.7781819656596166,2021-05-15,5
18,Life creates Life,nitrogen_cycle,13,0.227841399620259,0.4282919205848592,0.34386667979488167,2021-07-13,7
19,Data Magus,environmental_science,130,0.25640787193485665,0.7175151026642486,0.026077025400894675,2021-02-06,2
20,Data Magus,environmental_science,21,0.3315375180600346,0.07034281300684257,0.5981196689331227,2021-01-09,1
21,Code Magus,magic,14,0.19124863868479633,0.12301976698979318,0.6857315943254103,2021-02-20,2
22,Life creates Life,earth,0,0.2840327747033116,0.21230526664998864,0.5036619586466998,2021-05-24,5
23,Code Magus,lua,20,0.08211342689398077,0.8760045015932215,0.04188207151279752,2021-01-22,1
24,Data Magus,data_engineering,0,0.7181482308211299,0.24514369686409151,0.036708072314778746,2021-07-03,7
25,Life creates Life,nitrogen_cycle,12,0.001894735101612746,0.578230750968461,0.41987451392992625,2020-09-27,9
26,Life creates Life,prehistory,20,0.45687586519768314,0.5162051463681092,0.0269189884342076,2021-02-04,2
27,Code Magus,csharp,1,0.17369599128966215,0.04818885470728767,0.7781151540030502,2020-10-31,10
28,Life creates Life,zoology,0,0.676208108096664,0.27830871630428217,0.04548317559905388,2021-05-21,5
29,Life creates Life,zoology,8,0.17962686973610914,0.18966982687956416,0.6307033033843268,2020-10-02,10
30,Code Magus,csharp,51,0.26455539335062866,0.5688566029369793,0.166588003712392,2021-05-02,5
31,Life creates Life,geology,28,0.045378453005219886,0.44502124443278296,0.5096003025619972,2021-07-14,7
32,Data Magus,magic,16,0.2766029860648789,0.494827714289667,0.22856929964545425,2020-12-08,12
33,Data Magus,magic,0,0.5589903478229773,0.42155153551358915,0.0194581166634335,2020-08-26,8
34,Data Magus,politics,84,0.09860460463273812,0.027580614499026452,0.8738147808682354,2020-08-26,8
35,Life creates Life,zoology,6,0.10878809269026386,0.20479008871973284,0.6864218185900032,2021-02-24,2
36,Code Magus,csharp,121,0.1289426649442076,0.23756143299551882,0.6334959020602735,2021-06-08,6
37,Data Magus,python,45,0.38091819690925793,0.11744638833228357,0.5016354147584585,2021-01-10,1
38,Data Magus,anime,7,0.03922852834402797,0.5924051938401458,0.3683662778158262,2021-01-02,1
39,Data Magus,magic,48,0.214285257951744,0.4380797007102858,0.34763504133797,2021-02-23,2
40,Data Magus,data_analytics,59,0.06428057270151538,0.6944363421778187,0.24128308512066587,2020-11-04,11
41,Data Magus,politics,17,0.38361082910852223,0.527264334191432,0.08912483670004583,2021-06-19,6
42,Data Magus,environmental_science,3,0.12505372013436253,0.2774606793443002,0.5974856005213373,2021-02-03,2
43,Data Magus,environmental_science,48,0.4627267259824701,0.5353786181553463,0.0018946558621836527,2020-07-30,7
44,Code Magus,java,54,0.4745855257957939,0.3586717709524244,0.16674270325178167,2021-04-26,4
45,Life creates Life,zoology,9,0.03752314714293831,0.12105309252667135,0.8414237603303905,2020-10-11,10
